player_name,player_number,position,height,weight,birth_year,hometown,home_state,school,passing_yards,passing_comp,passing_att,passing_pct,passing_td,passing_int,passing_long,passing_rating,rushing_yards,rushing_carries,rushing_long,rushing_td,receiving_yards,receiving_rec,receiving_long,receiving_td,tackles_solo,tackles_assists,tackles_for_loss,sacks,forced_fumbles,interceptions,interception_return_yards,interception_return_long,interception_return_td,fumble_recoveries,fumble_return_yards,fumble_return_long,fumble_return_td,pass_deflections,blocked_kicks_and_punts,kickoff_returns,kickoff_returns_yards,kickoff_returns_long,kickoff_returns_td,punt_returns,punt_return_yards,punt_return_long,punt_return_td,punts,punting_yards,punting_touchbacks,punting_long,touchdowns,field_goals,field_goal_att,field_goal_long,pat_kicks,pat_kicks_att,safeties,pat_conversions,season,team,nr
Nellie Mixon,13.0,TE,5-8,190,1985,Philadelphia,PA,Nueman University,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,50,5,14,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Phantomz,
Alexandria Bear McLean,14.0,TE,5-8,175,1996,Philadelphia,PA,Lenape High School,0,0,0,0.0,0,0,0,0.0,2.0,1,2,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Phantomz,
Charneice Carney,15.0,DB,5-2,128,1994,Philadelphia,PA,Lasalle University,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,8.0,3.0,1.0,0.0,1,0,0,0,0,0,0,0,0,3,0,2,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Phantomz,
Autumn Dozier,16.0,DB,5-1,135,1997,Brookhaven,PA,Penn State University,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Phantomz,
Malak Bentoudjamalak,17.0,WR,5-7,136,1998,Morocco,NR,"University IBN Tofail, Kenitra",0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Phantomz,
Mandy Rodriguez,18.0,RB,5-3,165,1998,Philadelphia,PA,Maritime Academy Charter High School,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Phantomz,
Judea McDonald,19.0,DL,5-6,180,1997,Highland Park,NJ,Highland Park High School,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Phantomz,
Vanessa Bell-Carmichael,20.0,DE,5-5,157,1988,Philadelphia,PA,Cardinal Dougherty High School,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1.0,5.0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Phantomz,
Nicole Fairman,22.0,LB,5-4,170,1995,Philadelphia,PA,Shippensburg University,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,10.0,10.0,0.0,0.0,0,2,12,NR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Phantomz,
Jasmine Poole,23.0,DB,5-6,160,1994,Burlington,NJ,Rutgers University,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,9.0,5.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Phantomz,
